DATE,CSUSHPISA,Year,Month,GDP,UNRATE,FEDFUNDS,Cons_Price_Index,Consumer_price_index,House,working_people,old_people,Subsidy,Median_Income,Total_Houses,POP_PERCENT
2001-07-01,122.887,2002,7,46936.0,5.8,1.73,144.7,181.2,4.2,183888022.552227,12.2874577893554,24.183,65820.0,109297,79.409
2001-08-01,123.83,2002,8,46918.333333333336,5.7,1.74,145.1,181.7,4.0,184160985.601312,12.2874577893554,24.183,65820.0,109297,79.409
2001-09-01,124.779,2002,9,46900.666666666664,5.7,1.75,145.4,181.5,3.9,184423183.166082,12.2874577893554,24.183,65820.0,109297,79.409
2001-10-01,125.734,2002,10,46883.0,5.7,1.75,145.0,181.4,4.0,184554183.404222,12.2874577893554,24.183,65820.0,109297,79.409
2001-11-01,126.669,2002,11,46931.0,5.9,1.34,144.6,181.2,4.0,184744660.935522,12.2874577893554,24.183,65820.0,109297,79.409
2001-12-01,127.623,2002,12,46979.0,6.0,1.24,144.3,181.1,4.0,184859330.48556095,12.2874577893554,24.183,65820.0,109297,79.409
2002-01-01,128.46,2003,1,47027.0,5.8,1.24,144.4,182.3,4.0,185634217.687818,12.2779342993686,25.93,65860.0,111278,79.583
2002-02-01,129.355,2003,2,47132.0,5.9,1.26,145.2,183.2,4.5,185868643.220494,12.2779342993686,25.93,65860.0,111278,79.583
2002-03-01,130.14700000000002,2003,3,47237.0,5.9,1.25,145.2,184.3,4.1,186084693.56995896,12.2779342993686,25.93,65860.0,111278,79.583
2002-04-01,130.884,2003,4,47342.0,6.0,1.26,145.9,184.1,4.1,186470081.246257,12.2779342993686,25.93,65860.0,111278,79.583
2002-05-01,131.734,2003,5,47565.333333333336,6.1,1.26,145.8,184.5,3.9,186649528.27930897,12.2779342993686,25.93,65860.0,111278,79.583
2002-06-01,132.649,2003,6,47788.666666666664,6.3,1.22,146.1,185.3,3.5,186801069.52906,12.2779342993686,25.93,65860.0,111278,79.583
2002-07-01,133.77700000000002,2003,7,48012.0,6.2,1.01,147.0,185.9,3.6,187067405.757412,12.2779342993686,25.93,65860.0,111278,79.583
2002-08-01,134.968,2003,8,48158.0,6.1,1.03,147.2,186.1,3.5,187305250.791976,12.2779342993686,25.93,65860.0,111278,79.583
2002-09-01,136.29399999999998,2003,9,48304.0,6.1,1.01,149.0,185.8,3.8,187539775.20925,12.2779342993686,25.93,65860.0,111278,79.583
2002-10-01,137.532,2003,10,48450.0,6.0,1.01,149.6,185.7,3.8,187738373.134674,12.2779342993686,25.93,65860.0,111278,79.583
2002-11-01,138.793,2003,11,48511.0,5.8,1.0,150.2,185.1,4.1,187972124.74446905,12.2779342993686,25.93,65860.0,111278,79.583
2002-12-01,140.179,2003,12,48572.0,5.7,0.98,149.7,185.1,4.0,188135255.079655,12.2779342993686,25.93,65860.0,111278,79.583
2003-01-01,141.64600000000002,2004,1,48633.0,5.7,1.0,150.0,186.3,3.8,187687969.207989,12.3047192322804,27.201,65760.0,112000,79.757
